mm_policy,qa_function,explore_policy,save_agent_as_episodic,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
random,latest_strongest,random,False,include_walls,2,0.99,135.68,7.431392870788085
random,random,random,False,False,2,0.7,135.34,6.394872946353196
random,latest_strongest,random,False,exclude_walls,2,0.7,134.8,5.98865594269699
semantic,strongest,random,False,exclude_walls,2,0.5,133.94,6.749399973330964
semantic,strongest,random,False,False,2,0.5,133.35999999999999,8.180366739945095
semantic,strongest,avoid_walls,False,exclude_walls,2,0.7,132.35999999999999,10.04043823744761
semantic,strongest,random,False,exclude_walls,2,0.7,131.24,9.300451601938475
semantic,strongest,random,False,False,2,0.7,130.56,7.041193080721476
semantic,strongest,random,False,exclude_walls,2,0.9,125.97999999999999,12.07897346631741
semantic,strongest,random,False,False,2,0.9,123.0,19.85154905794508
semantic,strongest,avoid_walls,False,exclude_walls,2,0.9,121.67999999999999,21.685146990509423
semantic,strongest,random,False,include_walls,2,0.9,117.38000000000002,24.101070515643077
semantic,strongest,avoid_walls,False,False,2,0.9,109.74000000000001,18.319344966455535
semantic,strongest,avoid_walls,False,exclude_walls,2,0.99,109.02000000000001,27.499774544530354
semantic,strongest,avoid_walls,False,False,2,0.99,108.6,22.994521086554514
semantic,strongest,avoid_walls,False,include_walls,2,0.99,104.85999999999999,13.020537623308803
semantic,strongest,random,False,False,2,0.99,104.35999999999999,17.61097385155063
semantic,strongest,random,False,exclude_walls,2,0.99,102.97999999999999,37.529849453468366
semantic,strongest,random,False,include_walls,2,0.99,97.8,8.102592177815689
random,strongest,avoid_walls,True,exclude_walls,2,0.9,87.08,6.02474895742553
random,strongest,avoid_walls,True,exclude_walls,2,0.99,87.08,6.02474895742553
random,strongest,avoid_walls,True,exclude_walls,2,0.7,86.0,4.906322451694344
semantic,strongest,avoid_walls,False,include_walls,2,0.9,85.5,3.5173853925892162
random,strongest,avoid_walls,True,False,2,0.9,85.2,5.48270006474912
random,strongest,avoid_walls,True,False,2,0.99,85.2,5.48270006474912
random,strongest,avoid_walls,True,False,2,0.7,83.97999999999999,4.079411722295263
random,strongest,avoid_walls,True,False,2,0.5,83.25999999999999,5.779826987029974
random,strongest,avoid_walls,True,exclude_walls,2,0.5,82.67999999999999,6.56944442095372
random,latest,avoid_walls,True,exclude_walls,2,0.5,82.6,2.829134143161119
random,latest,avoid_walls,True,exclude_walls,2,0.7,82.22,3.110884118703233
random,strongest,random,True,exclude_walls,2,0.5,81.64,4.740717245312144
random,latest,avoid_walls,True,exclude_walls,2,0.9,81.58000000000001,4.135408081435252
random,latest,avoid_walls,True,exclude_walls,2,0.99,81.58000000000001,4.135408081435252
random,strongest,avoid_walls,True,include_walls,2,0.7,81.36,4.31675804279091
random,strongest,random,True,False,2,0.5,81.03999999999999,5.975483244056502
random,strongest,avoid_walls,True,include_walls,2,0.5,80.97999999999999,4.67050318488276
random,strongest,avoid_walls,True,include_walls,2,0.9,80.76,4.255161571550486
random,strongest,avoid_walls,True,include_walls,2,0.99,80.76,4.255161571550486
random,latest,random,True,False,2,0.5,80.56,2.2348154286204513
random,strongest,random,True,include_walls,2,0.5,80.55999999999999,6.964940775053297
random,latest,avoid_walls,True,False,2,0.5,80.52000000000001,8.22128943657867
random,latest,avoid_walls,True,include_walls,2,0.5,80.3,4.854688455503608
random,strongest,random,True,False,2,0.7,79.36000000000001,3.150618986802434
random,strongest,random,True,include_walls,2,0.7,79.14000000000001,5.675420689252912
random,strongest,random,True,exclude_walls,2,0.9,78.97999999999999,3.383134641127959
random,strongest,random,True,exclude_walls,2,0.99,78.97999999999999,3.383134641127959
random,strongest,random,True,exclude_walls,2,0.7,78.82,3.9239775738400944
random,strongest,random,True,include_walls,2,0.9,78.72,5.927360289369965
random,strongest,random,True,include_walls,2,0.99,78.72,5.927360289369965
random,latest,avoid_walls,True,include_walls,2,0.9,78.67999999999999,4.918699014983534
random,latest,avoid_walls,True,include_walls,2,0.99,78.67999999999999,4.918699014983534
random,strongest,random,True,False,2,0.99,78.34,2.6941417928535234
random,strongest,random,True,False,2,0.9,78.33999999999999,2.694141792853524
random,latest,avoid_walls,True,False,2,0.9,78.1,5.643757613505385
random,latest,avoid_walls,True,False,2,0.99,78.1,5.643757613505384
random,latest,avoid_walls,True,include_walls,2,0.7,78.06,4.402544718682592
random,latest,avoid_walls,False,include_walls,2,0.5,77.82,4.531842892245937
random,latest,random,True,False,2,0.7,77.8,5.198846025802262
random,latest,random,True,exclude_walls,2,0.7,77.6,2.5853433040894207
